Probability score,Ground Truth
0.8695239424705505,1
0.950367271900177,1
0.22793249785900116,1
0.8351112604141235,1
0.8322322368621826,1
0.09702963382005692,0
0.9542620182037354,1
0.9299293160438538,1
0.21409966051578522,0
0.0021816324442625046,0
0.9697163701057434,1
0.6209006905555725,0
0.16855891048908234,0
0.026542454957962036,0
6.329670577542856e-05,0
0.035498905926942825,0
0.17300061881542206,0
0.6628554463386536,0
0.9150934815406799,1
0.09092973917722702,0
0.6801954507827759,1
0.024254832416772842,1
0.751618504524231,1
0.11903813481330872,0
0.2896021902561188,1
0.9291155338287354,1
0.8579201102256775,1
0.9115712642669678,1
0.812019407749176,1
0.005235492717474699,1
0.9264613389968872,1
0.41812559962272644,0
0.8676562309265137,1
0.01697544753551483,0
0.0005575558170676231,0
0.9352648854255676,1
0.6986781358718872,0
0.8187514543533325,0
0.43940243124961853,1
0.6966356039047241,1
0.43494749069213867,0
0.010153532959520817,0
0.7329724431037903,1
0.8417324423789978,1
0.5941886305809021,0
0.20211507380008698,1
0.5995145440101624,1
0.0396730974316597,1
0.0676693543791771,0
0.6592755913734436,1
0.020036380738019943,1
0.2859504222869873,0
0.03121744468808174,0
0.07828664034605026,0
0.0964493677020073,0
0.24260523915290833,0
0.002464959630742669,0
0.07998518645763397,0
0.8899016380310059,1
0.49072688817977905,1
0.5609147548675537,1
0.686790943145752,1
0.509482741355896,1
0.013735420070588589,0
0.913673996925354,1
0.8739797472953796,0
0.12772566080093384,1
0.5044293403625488,1
0.878032386302948,1
0.010090825147926807,0
0.4708719849586487,1
0.3226258158683777,1
0.06254447996616364,0
0.8545371294021606,0
0.9885773658752441,1
0.18828031420707703,1
0.0056495461612939835,0
0.019567886367440224,1
0.9594211578369141,1
0.04637744650244713,0
0.8815487623214722,1
0.0901835486292839,0
0.654850959777832,0
0.021213915199041367,0
0.008577817119657993,0
0.07277412712574005,0
0.12017940729856491,1
0.7857437133789062,0
0.7885199785232544,1
0.0180228129029274,0
0.09260500222444534,0
0.009702565148472786,0
0.0044577354565262794,0
0.4116755425930023,0
0.8067380785942078,1
0.30575188994407654,1
0.782355785369873,1
0.5779464840888977,1
0.813461184501648,1
0.003569995053112507,0
0.6147843599319458,0
0.0945042297244072,0
0.01934783160686493,0
0.0031013106927275658,0
0.009456350468099117,1
0.0840848907828331,1
0.03050883673131466,0
0.5637319684028625,0
0.9127204418182373,0
0.13276124000549316,0
0.9673970937728882,1
0.6943371295928955,1
0.8569738268852234,1
0.8031366467475891,1
0.029910476878285408,1
0.11016570031642914,0
0.021163735538721085,1
0.7941093444824219,1
0.8616896271705627,1
0.7133724093437195,1
0.3738182783126831,1
0.9023643136024475,1
0.9570905566215515,1
0.037849850952625275,0
0.11924976110458374,1
0.6010184288024902,0
0.26609939336776733,0
0.01740148290991783,0
0.9871269464492798,1
0.2430673986673355,1
0.0002757274778559804,0
0.2642466127872467,1
0.32731983065605164,1
0.8512970805168152,1
0.20335853099822998,0
0.014223174192011356,0
0.8642997145652771,1
0.006444059312343597,0
0.8075924515724182,1
0.06689802557229996,0
0.2232746183872223,0
0.8872519731521606,1
0.08501742035150528,0
0.9627007842063904,1
0.010404739528894424,0
0.23569220304489136,0
0.13465119898319244,0
0.2378481924533844,0
0.8191295266151428,1
0.7876577973365784,1
0.7429800033569336,1
0.7956533432006836,1
0.6086042523384094,1
0.7514688968658447,1
0.6846937537193298,1
0.9528104662895203,1
0.17355690896511078,0
0.12930655479431152,0
0.009271376766264439,0
0.9647438526153564,1
0.03188765048980713,0
0.12583869695663452,1
0.0027904545422643423,0
0.10087016969919205,1
0.6366410851478577,1
0.020711667835712433,1
0.7085870504379272,1
0.01358069945126772,0
0.022118130698800087,0
0.7211766242980957,0
0.3560565412044525,1
0.019335811957716942,1
0.20828615128993988,0
0.0924084335565567,0
0.698124885559082,1
0.790183424949646,1
0.6703062653541565,1
0.2886308431625366,1
0.10872676968574524,0
0.0845244973897934,0
0.008595544844865799,0
0.08312403410673141,0
0.021646488457918167,0
0.32314908504486084,1
0.7743207216262817,0
0.8227575421333313,1
0.07147172093391418,0
0.9367427229881287,1
0.63525390625,0
0.8269252777099609,1
0.054133251309394836,1
0.8681433796882629,1
0.23076960444450378,0
0.05042188614606857,0
0.261572927236557,0
0.05786287784576416,0
0.9432958364486694,1
0.750325083732605,1
0.0023448094725608826,0
0.7403855323791504,1
0.2097710371017456,1
0.589438796043396,0
0.32294580340385437,0
0.8382793068885803,1
0.9889810085296631,1
0.9717366695404053,1
0.9248799085617065,1
0.5973246693611145,0
0.5044824481010437,1
0.0028261824045330286,0
0.07487231492996216,1
0.2495439648628235,1
0.009005777537822723,0
0.8429699540138245,1
0.9370006322860718,0
0.8353546261787415,1
0.7147914171218872,1
0.0005173508543521166,0
0.13932041823863983,0
0.9029679298400879,1
0.8680319786071777,1
0.7676537036895752,1
0.3483063280582428,1
0.17933644354343414,0
0.8571752905845642,1
0.9312373995780945,1
0.04105852171778679,0
0.31101369857788086,1
0.17682136595249176,1
0.5084264874458313,1
0.29772549867630005,1
0.02475626766681671,0
0.01864897832274437,0
0.005116650834679604,0
0.10138808190822601,0
0.7581143379211426,1
0.1635238528251648,0
0.9372410178184509,1
0.007733913604170084,0
0.16491614282131195,0
0.240160271525383,0
0.03813512995839119,0
0.5598663687705994,1
0.09722204506397247,1
0.7467119693756104,1
0.9304998517036438,1
0.19577595591545105,1
0.020982887595891953,0
0.014627279713749886,0
0.9893319606781006,1
